MOD,CV,01,CORVETTE,H
MOD,CV,02,CORSICA,H
MOD,CV,03,BERETTA,H
MOD,CV,04,BLAZER,H
MOD,CV,05,"TRANS SPORT",H
MOD,CV,06,CAMARO,H
MOD,CV,07,ALERO,H
MOD,CV,08,MATIZ,A
MOD,CV,09,KALOS,B
MOD,CV,10,LACETTI,M1
MOD,CV,11,NUBIRA,M2
MOD,CV,12,REZZO,M1
MOD,CV,13,EVANDA,M2
MOD,CV,14,EPICA,M2
MOD,CV,15,CAPTIVA,H
MOD,CV,16,AVEO,M1
MOD,CV,17,CRUZE,M2
MOD,CV,18,SPARK,A
MOD,CV,19,ORLANDO,M2
MOD,CV,20,VOLT,M2
MOD,CV,21,MALIBU,H
MOD,CV,22,TRAX,M1
MOD,DA,01,BLUEBIRD,NR
MOD,DA,02,CEDRIC,NR
MOD,DA,03,CHERRY,NR
MOD,DA,04,KING-CAB,NR
MOD,DA,05,LAUREL,NR
MOD,DA,06,PATROL,NR
MOD,DA,07,PICK-UP,NR
MOD,DA,08,SILVIA,NR
MOD,DA,09,STANZA,NR
MOD,DA,10,SUNNY,NR
MOD,DA,11,VIOLET,NR
MOD,DA,12,100,NR
MOD,DA,13,120,NR
MOD,DA,14,1600,NR
MOD,DA,15,180,NR
MOD,DA,16,200,NR
MOD,DA,17,220,NR
MOD,DA,18,260,NR
MOD,DA,19,280,NR
MOD,DC,01,LOGAN,M1
MOD,DC,02,SANDERO,B
MOD,DC,03,DUSTER,M1
MOD,DC,04,LODGY,M2
MOD,DC,05,DOKKER,M1
MOD,DC,06,"SANDERO III",B
MOD,DC,07,SPRING,A
MOD,DC,08,JOGGER,M2
MOD,DF,01,VA400,NR
MOD,DF,02,VH400,NR
MOD,DF,03,400,K2
MOD,DF,04,33,NR
MOD,DF,05,44,NR
MOD,DF,06,46,NR
MOD,DF,07,55,NR
MOD,DF,08,66,NR
MOD,DG,01,CALIBER,M2
MOD,DG,02,NITRO,M2
MOD,DG,03,AVENGER,H
MOD,DG,04,JOURNEY,H
MOD,DH,01,CHARADE,B
MOD,DH,02,APPLAUSE,M2
MOD,DH,03,FEROZA,B
MOD,DH,04,ROCKY,M1
MOD,DH,05,HIJET,NR
MOD,DH,06,DOMINO,A
MOD,DH,07,TERIOS,M1
MOD,DH,08,MOVE,A
MOD,DH,09,"GRAN MOVE",B
MOD,DH,10,SIRION,B
MOD,DH,11,YRV,B
MOD,DH,12,COPEN,B
MOD,DH,13,CUORE,A
MOD,DH,14,TREVIS,A
MOD,DH,15,MATERIA,B
MOD,DK,01,"SERES 3",M1
MOD,DM,01,DAIMLER,H
MOD,DS,01,DS5,M2
MOD,DS,02,DS4,M1
MOD,DS,03,DS3,B
MOD,DS,04,"DS7 CROSSBACK",H
MOD,DS,05,"DS3 CROSSBACK",B
MOD,DS,06,DS9,H
MOD,DS,07,"DS4 II",M1
MOD,DW,01,NEXIA,M1
MOD,DW,02,ESPERO,M2
MOD,DW,03,LANOS,M1
MOD,DW,04,NUBIRA,M2
MOD,DW,05,LEGANZA,H
MOD,DW,06,MATIZ,A
MOD,DW,07,KORANDO,H
MOD,DW,08,MUSSO,H
MOD,DW,09,REZZO,M1
MOD,DW,10,KALOS,B
MOD,DW,11,REXTON,H
